지역,매장명,현황,번호
경기 이천시,이천마장점,경기도 이천시 마장면 오천로 65 오천리 56-55,070-4647-0081
대전 유성구,충남대점,대전광역시 유성구 대학로 84 (궁동 482-6) .,070-7543-1009
서울 광진구,강변역점,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",070-7802-0303
서울 종로구,종각역점,서울특별시 종로구 종로 60-1 종로2가 102-3,02-736-3399
부산 사하구,부산아트몰링영풍문고점,"부산광역시 사하구 낙동남로 1413 (하단동, 아트몰링) 13층",051-201-0621
경기 광명시,광명GIDC점,"경기도 광명시 일직로 43 일직동 514 지하2층 G249, G250호",02-6914-6550
경기 이천시,이천점,경기도 이천시 어재연로 35 (창전동) 1~3층 할리스,031-635-6655
경기 하남시,미사가로수길점,"경기도 하남시 미사강변한강로 295 (망월동, 하남미사롯데캐슬헤븐시티Ⅱ) .",031-699-8674
경기 시흥시,시흥능곡점,"경기도 시흥시 능곡번영길 25 (능곡동) 능곡동 211-3 (107,108,205,206호)",070-8806-1314
경기 평택시,평택칠괴점,경기도 평택시 칠괴길 84 칠괴동 492 1층,031-665-1770
경기 평택시,송탄서정점,"경기도 평택시 경기대로 1371,102호 서정동 814-1",031-611-0234
서울 동작구,장승배기역점,"서울특별시 동작구 장승배기로11가길 11, 1층 (상도동, 상도파크자이)",02-812-9330
경기 하남시,미사효성해링턴점,"경기도 하남시 아리수로 570,1~2층 망월동 미사효성해링턴타워더퍼스",070-7733-9710
경남 김해시,김해인제대점,경상남도 김해시 인제로 168 (어방동) 정석빌딩101호,055-314-8589
전남 순천시,순천성가롤로병원점,"전남 순천시 순광로 221, 순천성가롤로병원 별관 2층 조례동 1742",061-905-0013
부산 부산진구,부산동의대점,"부산광역시 부산진구 엄광로 176 가야동, 동의대학교",051-893-6679
경기 군포시,금정AK프라자점,"경기도 군포시 금정동 689 AK프라자 131, 132호",031-427-8535
울산 남구,울산삼산로점,"울산광역시 남구 삼산로 283 (삼산동, 소망빌딩) 삼산동1525-8,1525-9",052-275-9004
대구 달성군,대구세천점,대구광역시 달성군 다사읍 세천로 141 세천리 1581-6,053-581-5768
부산 동래구,부산명륜자이점,"부산광역시 동래구 동래로 77 (명륜동) 1,2층",051-554-1001
경기 부천시,부천송내본점,경기도 부천시 송내대로 73번길 21 (상동) 1층,032-321-2007
충남 공주시,동학사점,"충남 공주시 반포면 동학사2로 133 1,2층 .",070-8836-8038
서울 서대문구,서울명지대점,서울특별시 서대문구 거북골로 41-1 (남가좌동) 1층~2층,02-304-1110
경기 부천시,부천순천향병원점,경기도 부천시 조마루로 170(중동) 본관 지하 1층 .,.
전북 전주시 완산구,전주시네마점,"전라북도 전주시 완산구 전주객사3길 67 (고사동, 전주시네마타운) 1~2층",063-232-9448
충남 천안시 동남구,천안신부점,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 4~5층",041-566-5085
서울 강서구,목동삼성쉐르빌점,"서울특별시 양천구 목동동로 189 (신정동, 삼성쉐르빌1) 1층 101,102,103호",02-2652-2030
경기 평택시,삼성전자평택캠퍼스점,경기도 평택시 삼성로 144 고덕면 여염리 1648,031-8094-9981
충남 아산시,천안아산역사점,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,.
경기 성남시 분당구,분당미금점,경기도 성남시 분당구 미금일로90번길 24 (구미동) B1F ~ 1F,031-713-7739
부산 서구,부산서구청점,부산광역시 서구 보수대로 9 (충무동1가 3-1) 바른빌딩 1층 104호,070-4647-1455
대구 북구,대구연경점,대구광역시 북구 동화천로 229 (연경동) 1층~2층,053-982-6877
울산 울주군,울산율리점,울산광역시 울주군 청량읍 율리영해1길 46 1층,052-221-1030
경남 창원시 마산회원구,마산호계점,경상남도 창원시 마산회원구 내서읍 광려천동로 28 (내서신화하니엘더시티) 상가 1~2층,.
경남 창원시 진해구,진해경화점,경상남도 창원시 진해구 조천북로 76 (경화동) .,055-547-9906
서울 동작구,중앙대점,서울특별시 동작구 흑석로 77 (흑석동) 할리스 1~4층,02-3280-3280
경기 고양시 덕양구,고양신원점,경기도 고양시 덕양구 권율대로 896-19 .,02-381-7666
경기 부천시,부천심곡점,경기도 부천시 장말로 376  심곡동 355-1,.
제주 제주시,제주연북로점,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),070-4123-5111
전북 군산시,군산선유도점,전라북도 군산시 옥도면 선유도리 213-3 .,063-464-9314
경기 고양시 덕양구,고양삼송점,"경기도 고양시 덕양구 삼송로 222 (삼송동, 삼송역현대헤리엇) 1층 할리스",070-7643-6611
서울 종로구,독립문역점,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동  1층",010-2594-7308
전북 익산시,익산모현점,전라북도 익산시 선화로3길 16-10 1층,063-842-8420
경기 고양시 일산서구,일산문촌마을점,"경기도 고양시 일산서구 중앙로 1493 ,상가동 1층 1001-1, 1001-2",070-7797-3247
서울 종로구,성균관대점,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,02-743-8526
대전 서구,대전건양대병원점,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 지하1층",042-543-3138
대전 유성구,대전유성온천점,"대전 유성구 온천로 45  1,2층",042-825-2023
경기 시흥시,스틸랜드점,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",070-8802-8041
경남 거제시,거제휴게소점,경상남도 거제시 장목면 거가대로 1068 .,055-736-2200
부산 강서구,가덕휴게소점,부산광역시 강서구 거가대로 2571 (천성동) .,051-715-2200
경기 성남시 분당구,판교역점,"경기도 성남시 분당구 판교역로192번길 12 (삼평동, 판교미래에셋센터) 1층",031-8061-0778
서울 노원구,태릉입구역점,"서울특별시 노원구 화랑로 453 (공릉동, 그린힐) 1층",02-976-0078
경남 창원시 마산합포구,마산저도점,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,055-243-1052
충북 옥천군,충북옥천점,충청북도 옥천군 옥천읍 송신길 172 .,043-731-5560
경기 화성시,화성조암점,경기도 화성시 우정읍 쌍봉로 76 103호,031-358-3567
충북 청주시 서원구,청주성화점,충청북도 청주시 서원구 신성화로 39 (성화동) 1~2층,043-233-6296
경기 구리시,모다아울렛구리점,"경기도 구리시 경춘북로 230 (갈매동, 모다아울렛) .",031-514-8194
서울 구로구,구로디지털점,"서울특별시 구로구 디지털로31길 12 1층 105,106호",070-7576-4842
경기 안성시,(상)안성맞춤휴게소점,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,031-673-3822
전남 나주시,나주빛가람혁신도시점,전라남도 나주시 배멧3길 5-4 (빛가람동) .,061-334-5466
서울 종로구,청계천점,"서울특별시 종로구  청계천로 81 1,2,3,4층",02-735-5462
충남 공주시,(논)탄천휴게소점,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,.
충남 공주시,(상)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) 1층,010-4551-8103
인천 연수구,인천대입구역점,"인천광역시 연수구 인천타워대로132번길 34 (송도동) 104호,105호",032-833-2808
경기 남양주시,남양주진접점,경기도 남양주시 진접읍 해밀예당1로 8-12 가동 1~2층,031-523-3237
서울 송파구,방이역점,"서울특별시 송파구 양재대로72길 5 (오금동, 올림픽파크센트레빌) 1층",02-403-0338
서울 강남구,청담삼성로점,"서울특별시 강남구 삼성로119길 8 (삼성동, 강남대학교청담카이로스빌딩) 1층",02-541-7755
경기 김포시,김포운양점,"경기도 김포시 김포한강11로255번길 15 (운양동, 김포한강이랜드타운힐스) .",031-986-2260
울산 남구,울산교보핫트랙스점,울산광역시 남구 화합로 185 (삼산동) 업스퀘어 B1 교보문고내,052-990-5550
서울 강동구,고덕그라시움후문점,서울특별시 강동구 동남로82길 77-1 (고덕동) 2층~4층,02-2088-0831
강원 속초시,속초센텀마크점,강원도 속초시 중앙로121번길 28 (금호동) 1층,033-638-8700
세종 세종시,세종가람DT점,세종특별자치시 금송로 589 (가람동) .,044-865-8882
서울 중구,덕수궁점,서울특별시 중구  세종대로 91 (태평로2가) 1~2층 할리스,02-6365-0143
경기 김포시,김포디원시티점,경기도 김포시 김포한강10로133번길 127 (구래동) 할리스커피,031-8035-1750
대구 동구,대구봉무공원점,대구광역시 동구 단산길 4 (봉무동) 1~2층,053-984-3001
서울 영등포구,보라매역점,"서울특별시 영등포구 여의대방로 145 (신길동, 세인트빌딩) .",02-845-1097
충북 청주시 서원구,청주산남DT점,"충청북도 청주시 서원구 1순환로 892,1,2층(산남동)",043-287-5731
충북 청주시 흥덕구,청주강서점,"충청북도 청주시 흥덕구 서현동로 8 (가경동, 하나빌딩) .",043-263-8585
울산 울주군,(함)울주휴게소점,울산광역시 울주군 삼동면 보은리 산193-1 외 .,052-933-5243
경기 평택시,평택이충DT점,경기도 평택시 추담로 30 A동 1~2층 (이충동),031-667-7034
경기 평택시,평택지산점,"경기도 평택시 지산로 10, 1층 지산동 808-4, 101,102호",031-8029-9005
서울 강북구,미아역점,"서울특별시 강북구 도봉로 203, 1-2층 미아동 209-2",070-7799-7374
경북 성주군,성주성밖숲점,경상북도 성주군 성주읍 성밖숲길 7 .,054-933-2222
강원 속초시,속초영랑해변점,강원도 속초시 영랑해안길 205 (영랑동 148-172) 할리스,033-637-0164
울산 남구,울산달동DT점,울산광역시 남구 번영로 82 (달동 1297-1) 할리스,052-275-3022
인천 연수구,송도학원가점,인천광역시 연수구 신송로 168 송도동 20-13,.
인천 서구,인천당하점,"인천광역시 서구 서곶로 788 (당하동, 홀리랜드) 1층",032-561-1578
경기 시흥시,시흥은계점,"경기도 시흥시 은계번영길 13 (은행동, 아리테타워) 107,108,203~205호",031-520-8147
서울 관악구,신림역점,서울특별시 관악구 신림로 313 (신림동) 2층,02-877-5596
대구 수성구,대구수성네거리점,"대구광역시 수성구 들안로 326 1,2층 수성동3가 254-2",053-743-8700
인천 서구,인천서구청점,"인천광역시 서구 서곶로301번길 7-1 (심곡동, 세광빌딩) .",032-569-1235
부산 수영구,부산광안리점,"부산광역시 수영구 광안해변로 175 (광안동, 광안에이파크오션) 1~2층",051-757-9433
부산 사상구,부산사상광장점,부산광역시 사상구 광장로 22 (괘법동) 2층 사상구 괘법동 565-2,051-322-4117
경기 이천시,이천갈산점,경기도 이천시 향교로 161 (갈산동) 1층 .,031-636-1791
충북 청주시 상당구,청주동남점,"충청북도 청주시 상당구 중고개로141번길 13-16 (용암동) 101,102,103호 .",043-293-3030
서울 동작구,대방역점,"서울특별시 동작구 알마타길 6 (대방동, 파밀리에 하늘마루) 101호, 102호 .",02-825-6369
경기 부천시,부천옥길점,"경기도 부천시 양지로 205, 1~2층 옥길동 793-2, 부천옥길 서영아너시티2",070-4129-4130
경기 남양주시,다산진건점,경기도 남양주시 다산중앙로20번길 10-44 (다산동) 1층  .,070-7808-1221
인천 부평구,2001아울렛부평점,"인천광역시 부평구 경원대로 1277 (산곡동, 2001아울렛부평점) A동 1층",032-525-1002
울산 남구,울산삼산점,울산광역시 남구 삼산중로 50 (삼산동) 2층,052-260-1121
서울 강남구,강남대로논현점,"서울특별시 강남구 강남대로 520 (논현동, 영동빌딩) .",02-6012-2372
대전 유성구,대전호텔ICC점,대전광역시 유성구 엑스포로123번길 55 (도룡동) 1층,042-866-5104
서울 마포구,홍대거리점,"서울특별시 마포구 어울마당로 76-1, 2~4층 (서교동 364-19) 할리스",02-323-3795
경기 평택시,(하)평택휴게소1호점,경기도 평택시 청북읍 평택제천고속도로 6 (평택복합휴게시설) .,031-683-4800
부산 해운대구,부산센텀시티점,"부산광역시 해운대구 센텀2로 24 (우동, 센텀다이아몬드) 1층",051-755-9100
경기 하남시,하남미사역점,"경기도 하남시 미사강변동로 85 (망월동, 힐스테이트에코미사) 1~2 층 ",031-8027-6979
경남 창원시 성산구,창원귀산점,경상남도 창원시 성산구 삼귀로 189 귀곡동 723-21,055-266-1353
경기 의정부시,의정부로데오점,경기도 의정부시 행복로 28 (의정부동) 지상 1층~ 4층,031-848-1674
강원 속초시,속초엑스포점,강원도 속초시 청초호반로 75 (조양동) 1~3층,033-638-2123
경기 수원시 영통구,광교호수점,"경기도 수원시 영통구 광교중앙로 180 (하동, 광교효성해링턴타워레이크) 광교효성해링턴타워레이크 B017호~B111호	",031-217-8797
경기 안양시 동안구,범계로데오점,"경기도 안양시 동안구 평촌대로223번길 11 (호계동, 성우프라자) 202호, 203호",031-8033-7562
경기 안산시 단원구,안산중앙역점,"경기도 안산시 단원구 광덕4로 234 (고잔동, 천혜로데오프라자) 107,108호",031-484-2002
경기 오산시,오산시청점,"경기도 오산시 성호대로 124 (원동, 신협빌딩) 101,102호",031-378-8778
충남 공주시,(하)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) 할리스커피,.
충북 청주시 흥덕구,청주NC백화점CGV점,충북 청주시 흥덕구 2순환로 1233  청주NC백화점 8층,070-4153-5598
서울 노원구,수락산역점,"서울특별시 노원구 동일로239가길 22 (상계동, 한올빌딩) 2층",02-951-3266
서울 중랑구,망우점,서울특별시 중랑구 망우로 470 (망우동) 1층,070-7707-0042
서울 구로구,구로거리공원점,서울특별시 구로구 구로중앙로28길 52  구로동 109-1,02-838-7008
강원 양양군,낙산해수욕장점,강원도 양양군 강현면 해맞이길 18 .,033-673-0053
경기 안산시 상록구,안산한대앞점,"경기도 안산시 상록구 중보로 31 (이동, 썬프라자) .",031-419-2131
전북 익산시,익산부송점,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩) 1층",063-832-1717
경기 양주시,양주삼숭DI점,"경기도 양주시 부흥로 2239 1,2층 삼숭동 477-1",031-848-5375
서울 서초구,교대역점,"서울특별시 서초구 반포대로30길 81 (서초동, 웅진타워) 1층 .",02-521-8944
경기 파주시,파주운정역점,경기도 파주시 경의로1240번길 37-1  101~3호 201~2호,031-957-6200
경기 화성시,제부도점,"경기도 화성시 서신면 해안길 434 1,2층",031-357-6399
경기 남양주시,다산센트럴점,"경기도 남양주시 다산중앙로 105-14 (다산동) 웅신미켈란오피스텔 104,105,106호",070-8670-1240
강원 인제군,인제점,강원도 인제군 인제읍 인제로 198 .,033-461-7767
대전 동구,가오CGV점,"대전광역시 동구 은어송로 72 4층(가오동, 패션아일랜드) .",042-273-7400
충북 청주시 서원구,청주분평점,"충청북도 청주시 서원구 월평로 4 분평동 1226, 대상탑존빌딩 111호",043-292-5105
충남 당진시,당진시청점,충청남도 당진시 시청2로 49-25 (수청동) 로고스타워 1~2층,070-8808-1040
전북 익산시,익산영등점,전라북도 익산시 고봉로32길 46-1 (영등동) 1~2층,063-918-2211
경기 수원시 권선구,수원SKV1모터스점,경기도 수원시 권선구 평동로79번길 45 (평동) 1층 135호,031-293-8810
서울 구로구,구로디지털단지역점,"서울특별시 구로구 디지털로32나길 38 (구로동, 서림빌딩) 1층",02-851-3365
서울 마포구,공덕경의선숲길점,"서울특별시 마포구 백범로28길 22, 일양빌딩 신관 1층 (염리동 164-1)",.
울산 남구,울산신정점,"울산광역시 남구 동산로 93  신정동 1265-16, 1층",052-260-0900
경기 안양시 동안구,평촌점,"경기도 안양시 동안구 관평로170번길 43, 훼미리타운 125호 .",031-385-3400
경남 창원시 진해구,진해속천점,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층 할리스커피,055-547-9777
충북 청주시 청원구,청주율량현대점,충청북도 청주시 청원구 율봉로 150 .,043-241-0005
대구 달서구,대구상인점,대구광역시 달서구 상화북로 194 (상인동) 2층,053-641-9522
경북 칠곡군,칠곡왜관점,경상북도 칠곡군 석적읍 석적로 178-3 1~2층,054-977-8255
서울 마포구,홍대역2번출구점,서울특별시 마포구 동교로 200 1~3층 .,02-332-8079
서울 송파구,가락시장역점,"서울특별시 송파구 중대로 130 가락동112-2, 원전빌딩 1층	",02-3401-5337
경기 화성시,화성능동DT점,"경기 화성시 동탄지성로 215 1,2층 전체호(병점동)",031-221-7286
인천 남동구,인천시청점,인천광역시 남동구 남동대로799번길 36 (구월동) .,032-433-0704
경남 밀양시,밀양킹콩점,"경상남도 밀양시 삼문강변로 272 (삼문동) 2,3층",055-351-0056
대구 북구,경북대북문점,대구광역시 북구 대학로 17길 3 (산격동 1393-11) 할리스 B1~3층,053-951-9990
서울 강남구,코엑스점,"서울특별시 강남구 영동대로 513, 코엑스 지하 1층  C113호 (삼성동 159)  할리스  ",02-6002-3100
울산 중구,울산성남점,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",052-211-4741
경기 양평군,양평점,경기도 양평군 양평읍 중앙로 90 1층,031-775-1157
경기 김포시,김포시청점,"경기도 김포시 김포대로 847 중앙프라자 105,204호",031-996-1388
경기 안산시 단원구,안산선부점,경기도 안산시 단원구 선부광장1로 56 (선부동) 할리스커피,031-411-9733	
경기 고양시 덕양구,화정역점,경기도 고양시 덕양구 화신로272번길 67  장군빌딩 1층,070-7514-8707
전북 군산시,군산새만금산단점,전라북도 군산시 새만금북로 424 (오식도동) 1층 104호,063-468-4100
경기 남양주시,다산한강점,경기도 남양주시 다산지금로 163번길 9-12 1층,031-592-3118
서울 마포구,상암DDMC점,"서울시 마포구 매봉산로 75, DDMC 1층 104호 상암동 1610",070-4445-2428
경기 고양시 덕양구,덕양구청점,"경기도 고양시 덕양구 화중로104번길 8 (화정동, 장원프라자) 1층 102호",070-4647-0030
충남 서천군,(하)서천휴게소점,충청남도 서천군 비인면 서해안고속도로 169 .,041-952-5757
전북 전주시 덕진구,전주에코시티세병호점,전라북도 전주시 덕진구 세병로 176 (송천동2가) 1층~2층,063-255-3000
경기 남양주시,다산리코빌파크뷰점,"경기도 남양주시 다산순환로 220 (다산동) 104 ~107호, 다산동 6020",031-523-3948
서울 서대문구,서대문농협생명빌딩점,"서울시 서대문구 통일로 87  미근동 257, NH농협생명빌딩 동관 1층",02-364-7787
충북 청주시 청원구,(하)오창휴게소점,충청북도 청주시 청원구 오창읍 중부고속도로 21 (오창휴게소통영기점) .,043-217-1477
충북 청주시 흥덕구,(하)옥산휴게소점,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (옥산휴게소부산방향) 옥산휴게소(하행) 할리스커피,043-260-1053
경기 김포시,김포지식산업센터점,"경기도 김포시 태장로 795번길 145, 아셈호텔 1층 장기동 2011-2",070-4953-9475
경기 군포시,군포IT밸리점,"경기도 군포시 고산로148번길 17 (당정동, 군포IT밸리) 1층",031-8086-8211
경남 진주시,진주혁신도시점,경상남도 진주시 에나로128번길 24 (충무공동) .,070-7543-2274
전남 광양시,광양중동점,전라남도 광양시 공영로 92-1 (중동) .,061-795-6600
대구 달서구,대구이월드점,대구광역시 달서구 두류공원로 200 (두류동) . ,053-620-0001
대전 유성구,대전문지점,대전광역시 유성구 문지로299번길 94-19 (문지동) 1층,042-861-6947
대구 수성구,대구범어천로점,"대구광역시 수성구 범어천로 200 (범어동, 범어월드메르디앙웨스턴카운티) 102호,201호",053-759-5779
서울 강서구,마곡나인스퀘어점,"서울특별시 강서구 공항대로 206 (마곡동, 나인스퀘어) 마곡동 800, 101,102,103호",02-2664-7876
전북 전주시 덕진구,전주아중점,"전라북도 전주시 덕진구 아중로 193 (우아동2가) 1,2층 ",063-246-2203
충북 청주시 상당구,청주명암레이크점,충북 청주시 상당구 용담동 449  .,0507-1384-9696
인천 중구,인천공항T1점,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 L/S 1층",032-743-3716
경기 이천시,이천하이닉스점,경기도 이천시 부발읍 경충대로 2091 연구개발동 1층,031-8094-8747
서울 강북구,수유사거리점,서울특별시 강북구 도봉로82길 11 (번동) 2~4층 ,070-5226-1999
서울 중구,명동퍼시픽호텔점,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층 ",02-3789-8747
충남 천안시 서북구,천안펜타포트점,"충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트) 5층",070-8820-3117
서울 송파구,아시아선수촌점,서울특별시 송파구 백제고분로 109 (잠실동) 1층~4층,02-412-3260
서울 동작구,보라매병원점,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,02-831-3085
광주 광산구,광주수완2호점,"광주광역시 광산구 수완로 73번길 7, 1층 (수완동)  1층",062-959-3327
경기 수원시 영통구,수원망포점,"경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 125,126,127,212호 (영통동)",031-204-0065
세종 세종시,세종어반아트리움점,"세종특별자치시 나성로 96 (나성동, 더센트럴) 101,102호",070-8800-3998
서울 서대문구,무악재역점,"서울특별시 서대문구 통일로 360 (홍제동, 보하빌딩) .",02-6406-0046
대전 대덕구,대전한남대점,대전 대덕구 한남로 65 .,070-4109-5800
경기 이천시,(하)마장휴게소점,경기도 이천시 마장면중부고속도로82 마장휴게소 하행 통영방향,031-630-0001
경기 오산시,오산수청점,"경기도 오산시 내삼미로79번길 46 (수청동 619-1) 101~104호 (수청동, 어반스페이스타워)",031-377-5823
서울 마포구,공덕점,"서울특별시 마포구  마포대로 143 (공덕동, 마포공덕파크팰리스 Ⅱ) 1층 (114~121호)",02-701-5785
충남 예산군,(상)예산휴게소점,충청남도 예산군 신양면 당진영덕고속도로 33 (예산휴게소 상행) 당진 방향,없음
서울 중구,약수역점,"서울특별시 중구 다산로 114 (신당동,1~2층)",02-2233-0866
대구 달서구,대구성서점,"대구광역시 달서구 성서로 419, 국민연금대구사옥 1층 (이곡동 1198-5) 할리스",053-584-5702
경기 화성시,동탄점,"경기도 화성시 동탄중심상가1길 5 (반송동, 동탄프라자) 1,2층",031-8003-9039
울산 남구,울산야음점,"울산 남구 수암로 138, 타임스퀘어 상가 야음동 789-14, 101호",052-276-3535
서울 마포구,홍대역점,서울특별시 마포구 어울마당로 111 (동교동) 2층,02-323-7791
서울 성북구,고대안암병원점,"서울특별시 성북구 고려대로 73 (안암동5가, 고려대병원) 고대안암병원 본관 3층 ",02-921-3062
서울 서대문구,신촌연세로점,"서울특별시 서대문구 연세로 5, 1층 (창천동 30-7) 할리스",02-322-3684
경기 용인시 처인구,용인명지대점,경기도 용인시 처인구 명지로116번길 24-2 (남동) 1~2층,070-4042-3118
서울 용산구,용산아이파크몰 영풍문고점,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역 리빙관 3층(한강로 3가)",070-8835-5073
경기 고양시 일산동구,BMC점,경기도 고양시 일산동구 동국로 32 (식사동) 산학협력관 1층,031-961-5692
전북 전주시 덕진구,국민연금공단점,전북 전주시 덕진구  기지로 170 국민연금공단 국민누리관 1층,063-221-5072
부산 금정구,부산금강식물원점,"부산광역시 금정구 금샘로 22 (장전동) 1,2층 금정구 장전동 521-68외1필지 1,2층",051-517-1110
서울 영등포구,선유도역점TS카페,"서울특별시 영등포구 양평로 96 (양평동4가) TS빌딩 1,2층",02-6267-6800
서울 구로구,구로역점,서울특별시 구로구 새말로 18-29 (구로동) .,02-862-3216
서울 마포구,공덕역북카페점,"서울특별시 마포구 마포대로 100 (공덕동, 공덕역) 북카페 지하1층",없음
전북 부안군,부안격포채석강점,전라북도 부안군 변산면 채석강길 22-10 .,063-584-0011
대구 북구,대구관음점,"대구광역시 북구 구암로 59 비전스퀘어 1,2층 .",053-324-6122
대전 서구,대전가장점,"대전광역시 서구 도솔로 314  1층, 2층(괴정동, SL 빌딩)",042-365-0365
대전 유성구,대전신성점,대전광역시 유성구 유성대로1184번길 18 (신성동) .,042-862-3335
서울 성동구,왕십리역점,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플렉스몰 3층 영풍문고 내",02-2200-1303
충남 천안시 서북구,천안쌍용점,"충청남도 천안시 서북구 미라13길 16 (쌍용동) 쌍용동 955, 성건오피스텔 1층",041-563-4700
서울 영등포구,전경련회관점,"서울특별시 영등포구 여의대로 24 (여의도동, 전국경제인연합회회관) 지하 1층 B109~111호 ",02-786-3485
부산 중구,부산중앙역점,부산광역시 중구 대청로 148 (중앙동2가) .,051-253-8883
경남 양산시,양산부산대병원치과동점,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 치과병동 1층(범어리 2762-1) 할리스",070-4442-0608
경남 양산시,양산부산대병원본점,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층(범어리 2762-1) 할리스",055-362-4582
경기 하남시,하남덕풍점,경기도 하남시 덕풍북로 2 (덕풍동) 1층,031-792-9389
